comp_id,subject_id,apn,address,city,zip,submarket,sale_date,sale_price,gla_sqft,lot_sqft,year_built,beds,baths,garage_spaces,pool,condition_rating,quality_rating,view_rating,dom,concessions,distance_miles,sale_type
CMP-0001,SUBJ-001,501-59-421,18145 W Melinda Ln,Surprise,85379,Surprise - Marley Park,2025-10-15,388400,1767,5800,2008,5,2.0,2,0,C4,Q4,B,55,3500,0.64,Arms length
CMP-0002,SUBJ-001,501-20-146,18200 W Sweetwater Ave,Surprise,85379,Surprise - Marley Park,2026-08-01,520600,2046,8100,2007,4,3.5,2,1,C3,Q4,A,41,3500,0.39,Arms length
CMP-0003,SUBJ-001,501-55-190,15738 N Sunrise Blvd,Surprise,85379,Surprise - Marley Park,2026-06-15,585100,2442,9900,2003,3,2.0,2,0,C4,Q4,N,10,3500,0.1,Arms length
CMP-0004,SUBJ-001,501-33-756,14025 N Vista Ln,Surprise,85379,Surprise - Marley Park,2026-01-03,578100,2471,7000,2015,4,3.5,2,0,C5,Q5,N,33,6000,0.24,Short sale
CMP-0005,SUBJ-001,501-54-572,16278 W Aster Dr,Surprise,85379,Surprise - Marley Park,2025-12-30,568300,2504,5800,2017,3,2.5,3,0,C2,Q3,A,36,0,1.72,Arms length
CMP-0006,SUBJ-001,501-71-763,15468 W Melinda Ln,Surprise,85379,Surprise - Marley Park,2025-12-07,571800,2523,6400,2015,3,2.0,3,0,C4,Q3,N,36,0,0.98,Arms length
CMP-0007,SUBJ-001,501-28-765,16376 N Vista Ln,Surprise,85379,Surprise - Marley Park,2025-12-11,569400,2505,5800,2004,4,3.5,2,0,C5,Q3,N,24,0,0.52,Relocation
CMP-0008,SUBJ-001,501-68-112,15858 N Saguaro Dr,Surprise,85379,Surprise - Marley Park,2025-10-11,413300,1744,8100,2011,3,2.0,3,0,C3,Q3,N,23,0,1.47,Arms length
CMP-0009,SUBJ-001,501-40-692,18513 W Calavar Rd,Surprise,85379,Surprise - Marley Park,2025-12-20,451900,1974,9900,2011,4,3.0,2,1,C3,Q4,N,24,6000,0.98,Arms length
CMP-0010,SUBJ-001,501-78-510,16546 W Aster Dr,Surprise,85379,Surprise - Marley Park,2026-04-30,406700,1844,5800,2017,4,3.0,2,0,C2,Q4,A,43,3500,1.05,Arms length
